ID,ISO3,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,bucky_measure,bucky_category,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
1,AFG,add,Public health measures,Health screenings in airports and border crossings,|||targeted pop group: No|,Ministry of Health|source type: Government|link: https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19|,closing borders,mobility-based,2020-02-12,,,,,,,
2,AFG,add,Public health measures,Isolation and quarantine policies,|admin level name: Kabul||targeted pop group: No|,Ministry of Health|source type: Government|link: https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19|,social distancing,reproduction number-based,2020-02-12,,,,,,,
3,AFG,add,Public health measures,Awareness campaigns,|||targeted pop group: No|,Ministry of Health|source type: Government|link: https://moph.gov.af/en/moph-held-emergency-meeting-international-health-partners-fight-against-spread-and-control-covid-19|,awareness campaign,reproduction number-based,2020-02-12,,,,,,,
5,AFG,add,Social distancing,Limit public gatherings,Nevruz festival cancelled|||targeted pop group: No|,AA|source type: Media|link: https://www.aa.com.tr/en/asia-pacific/coronavirus-afghanistan-scraps-annual-nevruz-festival/1763830|,reduction of size of gatherings,reproduction number-based,2020-03-12,,,,,,,
6,AFG,add,Movement restrictions,Border closure ,Closure of borders with Iran|||targeted pop group: No|,Guardian|source type: Media|link: https://www.theguardian.com/global-development/2020/feb/26/coronavirus-in-a-war-zone-afghanistan-braces-for-outbreak-after-first-case|,closing borders,mobility-based,2020-02-24,,,,,,,
8,AFG,add,Social distancing,Schools closure ,|admin level name: Herat||targeted pop group: No|,OCHA|source type: UN|link: https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf|,school closure,contact-based,2020-03-01,,,,,,,
10,AFG,add,Social distancing,Limit public gatherings,all public gatherings banned|admin level name: Herat||targeted pop group: No|,OCHA|source type: UN|link: https://reliefweb.int/sites/reliefweb.int/files/resources/20200309-sitrep-covid-19.pdf|,reduction of size of gatherings,reproduction number-based,2020-03-01,,,,,,,
17,AFG,add,Governance and socio-economic measures,Limit product imports/exports,Food imports from Iran and Afghanistan has been limited|||targeted pop group: No|,US Embassy |source type: Government|link: https://af.usembassy.gov/covid-19-information/|,closing borders,mobility-based,2020-03-01,,,,,,,
23,AFG,add,Movement restrictions,Border checks ,All China and Iran nationals|||targeted pop group: Yes|,US Embassy |source type: Government|link: https://af.usembassy.gov/covid-19-information/|,closing borders,mobility-based,2020-02-01,,,,,,,
4245,AFG,add,Public health measures,Awareness campaigns,MoPH begins announcements on their facebook to make public aware of coronavirus. |||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1005130256522820?__tn__=-R|,awareness campaign,reproduction number-based,2020-01-24,,,,,,,
4246,AFG,add,Public health measures,Health screenings in airports and border crossings,Health teams at airports will check passengers coming from China. |||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1006458563056656?__tn__=-R |,closing borders,mobility-based,2020-01-26,,,,,,,
4247,AFG,add,Movement restrictions,International flights suspension,Flights to China are suspended. |||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater|,closing borders,mobility-based,2020-01-27,,,,,,,
4248,AFG,add,Public health measures,Health screenings in airports and border crossings,Health screenings of all passengers at airports. |||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/photos/a.462598094109375/1007117789657400/?type=3&theater|,closing borders,mobility-based,2020-01-27,,,,,,,
4250,AFG,add,Public health measures,Isolation and quarantine policies,|||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1011701339199045?__tn__=-R|,social distancing,reproduction number-based,2020-02-02,,,,,,,
4251,AFG,add,Public health measures,Awareness campaigns,"Print, publishing and sending advertising materials about health services. Publishing messages in hospitals, building video guidance at ports of entry, making a clear part of the passengers's location, creating a clear section on the ministry's website to publish the content related to coronavirus. |||targeted pop group: No|",Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1013023885733457?__tn__=-R|,awareness campaign,reproduction number-based,2020-02-04,,,,,,,
4254,AFG,add,Public health measures,Awareness campaigns,the launch of education programs for doctors to handle COVID-19|||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1015946255441220?__tn__=-R|,awareness campaign,reproduction number-based,2020-02-08,,,,,,,
4255,AFG,add,Public health measures,Isolation and quarantine policies,Established specific areas for quarantine in Kabul and in the provinces for the control of COVID-19|admin level name: Kabul||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: http://tinyurl.com/rsfhsz9|alternative source: http://tinyurl.com/twpqsek ,social distancing,reproduction number-based,2020-02-12,,,,,,,
4259,AFG,add,Movement restrictions,Domestic travel restrictions,Avoid domestic travel to the Herat province. |||targeted pop group: Yes|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R|,restricting inter-regional movement,mobility-based,2020-02-24,,,,,,,
4261,AFG,add,Public health measures,Awareness campaigns,"Awareness campaign expands to include avoiding kissing, weddings, meetings, funerals, and other social luxuries. |||targeted pop group: No|",Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1028193360883176?__tn__=-R|,awareness campaign,reproduction number-based,2020-02-24,,,,,,,
4263,AFG,add,Movement restrictions,Border checks ,"Increased the screened teams on the ground and air border, especially the provinces of the border with Iran to identify the people with this virus (Midday Province). |admin level name: Midday Province||targeted pop group: Yes|",Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1030421290660383?__tn__=-R|,closing borders,mobility-based,2020-03-01,,,,,,,
4267,AFG,add,Public health measures,Awareness campaigns,New awareness campaign to “prevent the spread of coronavirus” |||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1040295806339598?__tn__=-R|,awareness campaign,reproduction number-based,2020-03-11,,,,,,,
4268,AFG,add,Social distancing,Schools closure ,"School closures until ""the end of the month"" (Afghanistan uses the Solar Hijri calendar) |||targeted pop group: No|",Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1043286092707236?__tn__=-R|,school closure,contact-based,2020-03-15,,,,,,,
4269,AFG,add,Public health measures,Health screenings in airports and border crossings,"Installed new heat censor machines to detect fever at passengers coming through ports of entry into the country and ports into and out of Herat Province (the epicenter of the outbreak in Afghanistan, at this point in time). |admin level name: Herat Province||targeted pop group: Yes|",Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1046184142417431?__tn__=-R|,closing borders,mobility-based,2020-03-19,,,,,,,
4274,AFG,add,Social distancing,Limit public gatherings,People should avoid official and non-official protests (gatherings?) to prevent the spread of coronavirus. |||targeted pop group: No|,Afghanistan MoPH|source type: Government|link: https://www.facebook.com/af.moph/posts/1048731302162715?__tn__=-R|,reduction of size of gatherings,reproduction number-based,2020-03-22,,,,,,,
4276,AFG,add,Lockdown,Partial lockdown,"The Afghan Ministries of Public Health and Interior jointly announced that the city of Kabul would be placed on lockdown for 21 days due to spread of the COVID-19 coronavirus. Residents may only move outside their homes to obtain essential food and medicine; and provide caregiving. According to the government, vehicles carrying more than four passengers, as well as buses, are prohibited from traveling in and out of Kabul. |admin level name: Kabul||targeted pop group: Yes|",US Embassy|source type: Government|link: https://af.usembassy.gov/message-for-u-s-citizens-movement-restrictions-in-kabul-march-27-2020/|,partial lockdown,reproduction number-based,2020-03-28,,,,,,,
9923,AFG,add,Social distancing,Changes in prison-related policies,Releases Hundreds of Prisoners to Limit Coronavirus Outbreaks|||targeted pop group: No|non compliance: Not applicable,Democracy Now!|source type: Media|link: https://www.democracynow.org/2020/3/31/headlines/afghanistan_releases_hundreds_of_prisoners_to_limit_coronavirus_outbreaks|alternative source: https://www.democracynow.org/2020/3/31/headlines/afghanistan_releases_hundreds_of_prisoners_to_limit_coronavirus_outbreaks,social distancing,reproduction number-based,2020-03-31,,,,,,,
11020,AFG,add,Movement restrictions,International flights suspension,international flight suspension|||targeted pop group: No|non compliance: Not applicable,ReliefWeb|source type: Other organisations|link: https://reliefweb.int/sites/reliefweb.int/files/resources/daily_brief_covid-19_01_april_2020.pdf|,closing borders,mobility-based,2020-04-01,,,,,,,
11021,AFG,add,Public health measures,Awareness campaigns,General hygiene campaign|||targeted pop group: No|non compliance: Not applicable,Ministry of Public Health of Afghanistan|source type: Government|link: https://www.facebook.com/af.moph/posts/1086900285012483?__cft__[0]=AZVjstj7Ea6ixpn6_RVpG6FyOsFwWk1NFDijTmSS2C80pSEIi2oLlkmF6rre276PHMOTN56gvzh4fiEXADKdaqCOZS4gAsevqyjWlKWXOt_F0k6G9qU0SO6TyyD6j1nJxT5fCMgvKJJPs-dzmcuiTUhUI80F0E7oRtpQj7IPw-VToD33zSPZ65WYoGy8NWW16d04wXJwxz2dS4k-CkeTeAB_&__tn__=%2CO%2CP-R|,awareness campaign,reproduction number-based,2020-05-12,,,,,,,
11022,AFG,remove,Movement restrictions,Border closure ,"The Government of Afghanistan has re-opened its border with Iran, which had been closed briefly to all air and ground travel.|||targeted pop group: No|non compliance: Not applicable",US Embassy in Afghanistan|source type: Government|link: https://af.usembassy.gov/covid-19-information/|,closing borders,mobility-based,2020-05-14,,,,,,,
15032,AFG,remove,Movement restrictions,International flights suspension,"the Afghanistan Civil Aviation Authority announced some airlines (Emirates, Turkish, Ariana and Kam) have resumed services.|||targeted pop group: No|non compliance: Not applicable",US Embassy|source type: Government|link: https://af.usembassy.gov/covid-19-information/|,closing borders,mobility-based,2020-06-24,,,,,,,
