ISO3,ID,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
COD,191.0,add,Public health measures,Isolation and quarantine policies,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms.||targeted pop group: Yes|non compliance: Not applicable",US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1583798400000000000,,,,,,,
COD,204.0,add,Public health measures,Health screenings in airports and border crossings,"Health screenings at airports for COVID-19 symptoms, travelers with symptoms have to quarantine for 14 days||targeted pop group: No|non compliance: Not applicable",US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1583798400000000000,,,,,,,
COD,1126.0,add,Movement restrictions,International flights suspension, All international passenger flights until at least April 3.  Only cargo flights and boats will be permitted entry.||targeted pop group: Yes|non compliance: Not applicable,Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|alternative source: https://cd.usembassy.gov/covid-19-information/,1584662400000000000,,,,,,,
COD,1127.0,add,Social distancing,Schools closure ,Until April 17||targeted pop group: No|non compliance: Not applicable,US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584576000000000000,,,,,,,
COD,1128.0,add,Social distancing,Limit public gatherings,Gathering of more than 20 people are banned. ||targeted pop group: No|non compliance: Not applicable,US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584489600000000000,,,,,,,
COD,1129.0,add,Public health measures,Isolation and quarantine policies,"All travelers entering the DRC who have a fever will be tested, and any persons positive for COVID-19 will be hospitalized at DRC government expense. Both categories will be subject to a mandatory 14-day quarantine.  All persons traveling domestically from Kinshasa to other provinces will be subject to preventative screening.||targeted pop group: No|non compliance: Not applicable",US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584662400000000000,,,,,,,
COD,1130.0,add,Social distancing,Limit public gatherings,"Bars, cafe and restaurants are closed until further notice.||targeted pop group: No|non compliance: Not applicable",US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584489600000000000,,,,,,,
COD,2704.0,add,Movement restrictions,Border closure ,All borders are closed except trade transportation.||targeted pop group: No|non compliance: Not applicable,Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|,1585094400000000000,,,,,,,
COD,2705.0,add,Movement restrictions,Domestic travel restrictions,Domestic travels between Kinshasa and the rest of the country are forbidden. Does not apply to trade.||targeted pop group: No|non compliance: Not applicable,Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|,1585094400000000000,,,,,,,
COD,2706.0,add,Social distancing,Limit public gatherings,Public gathering are not allowed in the streets.||targeted pop group: No|non compliance: Not applicable,Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|,1585094400000000000,,,,,,,
COD,2707.0,add,Lockdown,Partial lockdown,"All residents of Kinshasa, apart from essential workers such as medical staff, would have to stay at home for four days minimum. Update 03/04/2020, the measure has been postponed but is expected to be implemented for 14 days.|admin level name: Kinshasa|targeted pop group: No|non compliance: Not applicable",BBC|source type: Media|link: https://www.bbc.com/news/topics/cvenzmgylgwt/democratic-republic-of-congo|alternative source: https://cd.usembassy.gov/covid-19-information/,1585353600000000000,,,,,,,
COD,5046.0,add,Lockdown,Partial lockdown,"The Gombe neighborhood of Kinshasa, as well as the city of Goma, are under a 14-day confinement until April 20.|admin level name: Kinshasa, Goma|targeted pop group: No|non compliance: Not available",Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|alternative source: https://cd.usembassy.gov/covid-19-information/,1586131200000000000,,,,,,,
COD,6432.0,add,Social distancing,Limit public gatherings,Religious gathering are forbidden until 17th of April. ||targeted pop group: No|non compliance: Not applicable,BBC|source type: Media|link: https://www.bbc.com/afrique/region-51959819|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584576000000000000,,,,,,,
COD,6433.0,add,Public health measures,Amendments to funeral and burial regulations,"Funerals must happen directly at the morgue, and with a limited number of people.||targeted pop group: No|non compliance: Not applicable",BBC|source type: Media|link: https://www.bbc.com/afrique/region-51959819|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584576000000000000,,,,,,,
COD,6435.0,add,Social distancing,Limit public gatherings,Sport activities in stadium and other sport halls are suspended.||targeted pop group: No|non compliance: Not applicable,BBC|source type: Media|link: https://www.bbc.com/afrique/region-51959819|alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,1584576000000000000,,,,,,,
COD,6436.0,remove,Lockdown,Partial lockdown,Partial lockdown of Kinshasa is delayed to a later date.||targeted pop group: No|non compliance: Not applicable,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1585267200000000000,,,,,,,
COD,7002.0,add,Public health measures,Requirement to wear protective gear in public,Requirement to wear face masks in public spaces. The police will issue fines of 5000 Congolese Franc ($3) if masks are not worn.|admin level name: Kinshasa|targeted pop group: No|non compliance: Fines,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|alternative source: https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus,1587340800000000000,,,,,,,
COD,7003.0,remove,Lockdown,Partial lockdown,"Confinment of the Gombe neighborhood of Kinshasa will be slowy phased out, with local checkpoints remaining in place.|admin level name: Kinshasa|targeted pop group: No|non compliance: Not available",Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1587340800000000000,,,,,,,
COD,7004.0,add,Movement restrictions,Checkpoints within the country,Neighborhoods around Gombe will be subject to increased health screening.|admin level name: Kinshasa|targeted pop group: No|non compliance: Not available,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1587340800000000000,,,,,,,
COD,7005.0,add,Lockdown,Partial lockdown,"Cities of Lubumbashi, Goma, Beni, Butembo et Bukavu are under quarantine.|admin level name: Lubumbashi, Goma, Beni, Butembo and Bukavu|targeted pop group: No|non compliance: Not available",Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|,1587513600000000000,,,,,,,
COD,7006.0,add,Movement restrictions,Curfews,"Curfew in Lualaba and Lubumbashi from 10pm to 5am.|admin level name: Lubumbashi, Lualaba|targeted pop group: No|non compliance: Not available",Ministry of Foreign Affairs — France|source type: Government|link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/|,1587513600000000000,,,,,,,
COD,7007.0,add,Public health measures,Requirement to wear protective gear in public,Wearing facemasks is mandatory in South Kivu.|admin level name: South Kivu|targeted pop group: No|non compliance: Not available,Foreign Ministry — UK|source type: Government|link: https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus|,1587427200000000000,,,,,,,
COD,7008.0,add,Public health measures,Isolation and quarantine policies,Self-isolation for people at risk (over 60 or with existing health issues) is mandatory in South Kivu.|admin level name: South Kivu|targeted pop group: No|non compliance: Not available,Foreign Ministry — UK|source type: Government|link: https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus|,1587427200000000000,,,,,,,
COD,7009.0,add,Movement restrictions,Domestic travel restrictions,"Internal travel between the towns of Goma, Beni and Butembo in eastern DRC has been suspended with the exception of cargo||targeted pop group: No|non compliance: Not available",Foreign Ministry — UK|source type: Government|link: https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus|,1587427200000000000,,,,,,,
COD,8320.0,add,Lockdown,Partial lockdown,The mineral-rich province of Haut-Katanga begins a 24-hour lockdown to help authorities contact trace.|admin level name: Haut-Katanga|targeted pop group: No|non compliance: Not applicable,Reuters|source type: Media|link: https://af.reuters.com/article/commoditiesNews/idAFL5N2CG591|,1588118400000000000,,,,,,,
COD,8321.0,add,Movement restrictions,Checkpoints within the country,Checkpoints are set up all around Kinshasa to ensure domestic travel ban is respected.||targeted pop group: No|non compliance: Not applicable,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1585094400000000000,,,,,,,
COD,8324.0,add,Social distancing,Schools closure ,School closure extended until further notice. ||targeted pop group: No|non compliance: Not applicable,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1587168000000000000,,,,,,,
COD,8327.0,add,Social distancing,Limit public gatherings,Extension of religious gathering suspension until further notice. ||targeted pop group: No|non compliance: Not applicable,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1587168000000000000,,,,,,,
COD,8328.0,add,Movement restrictions,International flights suspension,Extension of international flight suspensions until further notice.||targeted pop group: No|non compliance: Not applicable,Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1585958400000000000,,,,,,,
COD,9728.0,remove,Movement restrictions,Border closure ,Partial reopening of the border with Zambia.||targeted pop group: No|non compliance: Not applicable,CSIS|source type: Other organisations|link: https://www.csis.org/programs/africa-program/covid-19-coverage/daily-africa-updates|,1588896000000000000,,,,,,,
COD,10482.0,add,Public health measures,Requirement to wear protective gear in public,Mandatory use of face mask in Matadi (Congo Central Province).|admin level name: Matadi|targeted pop group: No|non compliance: Not available,GardaWorld|source type: Media|link: https://www.garda.com/crisis24/news-alerts/340706/drc-use-of-face-masks-compulsory-in-matadi-kongo-central-province-from-may-11-to-curb-spread-of-covid-19-update-14|,1589155200000000000,,,,,,,
COD,10483.0,add,Public health measures,Requirement to wear protective gear in public,Mandatory use of face mask in Lubumbashi (Haut-Katanga Province).|admin level name: Lubumbashi|targeted pop group: No|non compliance: Not available,GardaWorld|source type: Media|link: https://www.garda.com/crisis24/news-alerts/338756/drc-face-mask-use-compulsory-in-public-from-may-4-in-lubumbashi-update-12|,1588550400000000000,,,,,,,
COD,11515.0,add,Lockdown,Partial lockdown,Matadi will be under partial lockdown from the 22nd to the 25th of May.|admin level name: Matadi|targeted pop group: No|non compliance: Not applicable, Infobascongo|source type: Media|link: http://www.infobascongo.net/beta/?p=26697|,1590105600000000000,,,,,,,
COD,12062.0,add,Public health measures,Isolation and quarantine policies,"The city of Goma will be under confinement for 14 days, effective May 20.|admin level name: Goma|targeted pop group: No|non compliance: Not available",US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1589932800000000000,,,,,,,
COD,12063.0,add,Movement restrictions,Curfews,A curfew will be enforced within the city of Goma between 8 pm and 5 am. Movements within the city between 5 am and 8 pm appear to be permitted.|admin level name: Goma|targeted pop group: No|non compliance: Not available,US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1589932800000000000,,,,,,,
COD,12064.0,add,Movement restrictions,Domestic travel restrictions,Travel in and out of Goma at city limits will be restricted for 14 days. Movements within the city between 5 am and 8 pm appear to be permitted.|admin level name: Goma|targeted pop group: No|non compliance: Not available,US Embassy|source type: Government|link: https://cd.usembassy.gov/covid-19-information/|,1589932800000000000,,,,,,,
COD,15228.0,remove,Social distancing,Closure of businesses and public services,"Reopening of stores, banks, public establishments, private industry, restaurants, cafes, and more with limitations in place||targeted pop group: No|non compliance: Not applicable",Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1593388800000000000,,,,,,,
COD,15229.0,add,Social distancing,Closure of businesses and public services,"Certain public places remain closed: Central Market, discotechques, bars, schools, churches, stadiums, and all trade and catering. ||targeted pop group: Yes|non compliance: Not available",Government — Congo DR|source type: Government|link: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus|,1593388800000000000,,,,,,,
,,,,,,,2020-03-25,,"['CD7101', 'CD6109', 'CD6101', 'CD10']",50.0,,,12064 - 7009 - 2705,
,,,,,,,2020-04-22,,"['CD6101', 'CD72', 'CD7101']",50.0,,,12063 - 7006,
,,,,,,,2020-04-20,,"['CD7101', 'CD20', 'CD62', 'CD10']",50.0,,,10483 - 10482 - 7007 - 7002,
,,,,,,,2020-04-18,,['CD'],50.0,,,8327,
,,,,,,,2020-04-18,,['CD'],100.0,,,,
