#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
SS01,SS0101,2020-04-01,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-02,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-08,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-04-09,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-12,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-19,26,0.5291723202170964,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-24,27,0.5495251017639078,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-25,64,1.3025780189959295,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-04-25,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-27,69,1.4043419267299866,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-04-27,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-04-28,71,1.4450474898236094,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-04-28,7,0.1424694708276798,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-04-30,6,0.12211668928086838,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-01,8,0.1628222523744912,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-01,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-01,72,1.4654002713704208,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-03,74,1.5061058344640437,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-04,84,1.7096336499321576,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-05,12,0.24423337856173677,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-05,86,1.7503392130257804,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-06,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-06,104,2.1166892808683855,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-05-06,8,0.1628222523744912,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-07,121,2.4626865671641793,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-08,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-08,124,2.5237449118046134,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-09,156,3.175033921302578,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-09,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-09,15,0.30529172320217096,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-05-09,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-10,170,3.4599728629579376,2020-07-23 10:21:10.986163,milano
SS03,SS0307,2020-05-11,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-11,17,0.34599728629579374,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-11,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-05-11,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-11,208,4.233378561736771,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-05-12,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-12,245,4.986431478968793,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-12,19,0.3867028493894165,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-05-13,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-13,268,5.454545454545455,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-14,20,0.40705563093622793,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-05-14,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-14,389,7.9172320217096335,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-05-14,9,0.18317503392130258,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-05-15,15,0.305291723202171,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-15,437,8.894165535956581,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-05-15,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-15,31,0.6309362279511533,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-05-15,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS05,SS0505,2020-05-15,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-16,467,9.504748982360923,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-17,502,10.21709633649932,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-18,582,11.845318860244232,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-05-19,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-19,710,14.450474898236092,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-20,784,15.956580732700136,2020-07-23 10:21:10.986163,milano
SS10,SS1010,2020-05-20,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS05,SS0501,2020-05-21,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-21,928,18.887381275440976,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-21,6,0.1221166892808684,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-05-22,14,0.2849389416553596,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-22,998,20.312075983717776,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-23,1082,22.021709633649934,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-24,1115,22.69335142469471,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-25,1263,25.7055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-26,1287,26.194029850746272,2020-07-23 10:21:10.986163,milano
SS03,SS0307,2020-05-26,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS02,SS0207,2020-05-27,32,0.6512890094979648,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-27,1389,28.270013568521033,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-28,7,0.1424694708276798,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-05-28,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-28,1452,29.552238805970152,2020-07-23 10:21:10.986163,milano
SS05,SS0505,2020-05-29,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-29,1497,30.468113975576664,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-05-29,17,0.3459972862957938,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-30,1515,30.83446404341927,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-05-30,8,0.1628222523744912,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-05-31,1521,30.95658073270014,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-01,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS05,SS0502,2020-06-01,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-01,1539,31.322930800542746,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-02,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-02,10,0.203527815468114,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-06-02,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-02,1560,31.750339213025786,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-03,1579,32.137042062415205,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-03,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-06-03,19,0.38670284938941657,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-04,1605,32.666214382632305,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-06-04,16,0.3256445047489824,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-06-04,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS05,SS0505,2020-06-04,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-05,1615,32.86974219810042,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-05,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-06-06,20,0.407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-06,1647,33.521031207598384,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-07,1657,33.7245590230665,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-07,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-07,12,0.2442333785617368,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-08,1664,33.867028493894175,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-08,11,0.22388059701492538,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-09,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS05,SS0505,2020-06-09,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-06-09,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-09,1676,34.11126187245591,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-06-09,21,0.4274084124830394,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-10,12,0.24423337856173677,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-06-10,6,0.1221166892808684,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-10,8,0.1628222523744912,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-10,1688,34.35549525101765,2020-07-23 10:21:10.986163,milano
SS10,SS1010,2020-06-11,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-11,1698,34.559023066485764,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-11,13,0.2645861601085482,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-11,9,0.18317503392130258,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-12,1712,34.843962008141126,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-12,14,0.2849389416553596,2020-07-23 10:21:10.986163,milano
SS08,SS0806,2020-06-13,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-13,18,0.3663500678426052,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-13,1727,35.1492537313433,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-14,1732,35.25101763907736,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-06-14,7,0.1424694708276798,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-15,1737,35.35278154681142,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-06-16,17,0.3459972862957938,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-16,17,0.34599728629579374,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-16,14,0.2849389416553596,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-16,13,0.2645861601085482,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-16,1745,35.51560379918591,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-17,23,0.4681139755766621,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-17,17,0.3459972862957938,2020-07-23 10:21:10.986163,milano
SS08,SS0802,2020-06-17,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-17,1753,35.6784260515604,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-06-18,24,0.48846675712347354,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-18,14,0.2849389416553596,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-18,18,0.3663500678426052,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-18,1760,35.82089552238808,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-19,1764,35.902306648575326,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-20,15,0.305291723202171,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-20,1772,36.065128900949816,2020-07-23 10:21:10.986163,milano
SS10,SS1010,2020-06-20,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-21,1773,36.08548168249663,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-21,18,0.3663500678426052,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-22,20,0.407055630936228,2020-07-23 10:21:10.986163,milano
SS08,SS0806,2020-06-22,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-22,1779,36.20759837177749,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-22,19,0.3867028493894166,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-23,22,0.4477611940298508,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-06-23,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-23,1785,36.32971506105836,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-24,25,0.508819538670285,2020-07-23 10:21:10.986163,milano
SS03,SS0307,2020-06-24,14,0.28493894165535955,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-24,1795,36.53324287652647,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-24,24,0.4884667571234736,2020-07-23 10:21:10.986163,milano
SS04,SS0408,2020-06-24,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS03,SS0307,2020-06-25,16,0.3256445047489823,2020-07-23 10:21:10.986163,milano
SS03,SS0303,2020-06-25,25,0.508819538670285,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-25,29,0.5902306648575305,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-06-25,8,0.1628222523744912,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-25,1799,36.61465400271372,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-26,1808,36.79782903663502,2020-07-23 10:21:10.986163,milano
SS06,SS0609,2020-06-26,9,0.18317503392130258,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-06-26,18,0.3663500678426052,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-06-28,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-28,30,0.6105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-29,1819,37.02170963364995,2020-07-23 10:21:10.986163,milano
SS05,SS0502,2020-06-29,3,0.06105834464043419,2020-07-23 10:21:10.986163,milano
SS10,SS1010,2020-06-29,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-06-29,22,0.4477611940298508,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-29,31,0.6309362279511533,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-06-30,7,0.1424694708276798,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-06-30,19,0.3867028493894166,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-06-30,33,0.6716417910447762,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-06-30,20,0.40705563093622804,2020-07-23 10:21:10.986163,milano
SS09,SS0903,2020-06-30,26,0.5291723202170964,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-06-30,1828,37.20488466757125,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-01,8,0.1628222523744912,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-07-01,26,0.5291723202170964,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-01,1838,37.40841248303936,2020-07-23 10:21:10.986163,milano
SS08,SS0807,2020-07-01,34,0.6919945725915876,2020-07-23 10:21:10.986163,milano
SS10,SS1010,2020-07-02,5,0.101763907734057,2020-07-23 10:21:10.986163,milano
SS01,SS0106,2020-07-02,20,0.40705563093622804,2020-07-23 10:21:10.986163,milano
SS04,SS0404,2020-07-02,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS03,SS0311,2020-07-02,2,0.0407055630936228,2020-07-23 10:21:10.986163,milano
SS03,SS0307,2020-07-02,18,0.3663500678426051,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-02,1847,37.591587516960665,2020-07-23 10:21:10.986163,milano
SS07,SS0701,2020-07-02,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-03,1852,37.693351424694725,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-07-03,29,0.5902306648575306,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-03,11,0.22388059701492538,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-04,1861,37.87652645861603,2020-07-23 10:21:10.986163,milano
SS04,SS0403,2020-07-05,21,0.42740841248303946,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-06,17,0.34599728629579374,2020-07-23 10:21:10.986163,milano
SS03,SS0310,2020-07-06,1,0.0203527815468114,2020-07-23 10:21:10.986163,milano
SS02,SS0208,2020-07-06,30,0.610583446404342,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-06,1866,37.97829036635009,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-07,1871,38.08005427408415,2020-07-23 10:21:10.986163,milano
SS03,SS0307,2020-07-07,19,0.3867028493894165,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-07,21,0.42740841248303935,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-08,1876,38.18181818181821,2020-07-23 10:21:10.986163,milano
SS05,SS0502,2020-07-08,4,0.0814111261872456,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-09,23,0.4681139755766621,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-10,25,0.508819538670285,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-10,1880,38.26322930800546,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-11,1881,38.28358208955227,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-12,1882,38.30393487109908,2020-07-23 10:21:10.986163,milano
SS07,SS0707,2020-07-13,30,0.6105834464043419,2020-07-23 10:21:10.986163,milano
SS01,SS0101,2020-07-13,1887,38.40569877883314,2020-07-23 10:21:10.986163,milano
